;
; enemy car abilities
;
; graphic types of cars
;       0 generic sports car
;       1 Truck rig with rear gunner
;       2 Single cycle
;       3 Off road pickup
;       4 Twin cycle
;       5 Mako (sport car)
;       6 Oil Tanker
;       7 Cube Van
;       8 Checker cab
;       9 Compact car
;
;

,0,1,2,4,5,8,9           ; cover disk  - old kemo
,0,1,2,3,4,5,6           ; core
,0,1,2,3,4,5,6           ; park
,0,1,2,3,4,5,6           ; projects
,0,1,2,3,4,5,6           ; wharf

;
; 4 types of car per graphic
;       1 non-armed passive
;       2 self defending
;       3 random aggressiveness
;       4 all out aggression (angry!!!)
;
; 8 bytes per vehicle description
;
;       1 health
;       2 maxspeed
;       3 accel
;       4 decel
;       5 front weapons
;       6 back weapons
;       7 unused
;       8 unused
;
; front weapons are defined as follows -
;
; NADA            0
; FGUNS           1
; FMINES          2
; FMISSILES       3
; FPLASMA         4
; SGUNS           5
; SMARTFMISSILES  6
;
; rear weapons
;
; NADA            0
; BGUNNER         1
; BJACKS          2
; BMINES          3
; BMISSILES       4
; BCUBEGUYS       5
;

;
; cars for old kemo
;    cover disk
;

,10,24,4,8,0,0,0,0      ; 0 Sportster
,15,24,4,8,1,0,0,0
,20,24,4,8,1,3,0,0
,25,24,4,8,1,3,0,0

,20,24,4,8,0,0,0,0      ; 1 Rig
,25,24,4,8,0,1,0,0
,30,24,4,8,1,1,0,0
,40,24,4,8,6,1,0,0

,10,28,6,8,0,0,0,0      ; 2 cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,10,28,6,8,0,0,0,0      ; 3 twin cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,14,28,2,10,0,0,0,0     ; 4 mako
,18,28,2,10,0,3,0,0
,18,28,2,10,1,3,0,0
,20,28,2,10,3,3,0,0

,10,24,4,8,0,0,0,0       ; 5 cabbie
,20,24,4,8,0,0,0,0
,20,24,4,8,0,0,0,0
,20,24,4,8,0,0,0,0

,10,24,4,8,0,0,0,0      ; 6 Compact
,15,24,4,8,1,0,0,0
,20,24,4,8,1,3,0,0
,25,24,4,8,1,3,0,0

;
; cars for the core
;


,40,24,4,8,0,5,0,0       ; 0 cube van
,40,24,4,8,0,5,0,0
,40,24,4,8,0,5,0,0
,40,24,4,8,6,5,0,0


,10,24,4,8,0,0,0,0      ; 2 Sportster
,15,24,4,8,1,0,0,0
,20,24,4,8,1,3,0,0
,25,24,4,8,1,3,0,0

,20,24,4,8,0,0,0,0      ; 3 Rig
,25,24,4,8,0,1,0,0
,30,24,4,8,1,1,0,0
,40,24,4,8,6,1,0,0

,10,28,6,8,0,0,0,0      ; 4 cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,20,24,4,8,0,0,0,0      ; 5 Off roader
,22,24,8,0,0,3,0,0
,24,24,4,8,1,3,0,0
,26,24,4,8,3,3,0,0

,10,28,6,8,0,0,0,0      ; 6 twin cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

;
; cars for the park
;

,10,24,4,8,0,0,0,0      ; 0 Sportster
,15,24,4,8,1,0,0,0
,20,24,4,8,1,3,0,0
,25,24,4,8,1,3,0,0

,20,24,4,8,0,0,0,0      ; 1 Rig
,25,24,4,8,0,1,0,0
,30,24,4,8,1,1,0,0
,40,24,4,8,6,1,0,0

,10,28,6,8,0,0,0,0      ; 2 cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,20,24,4,8,0,0,0,0      ; 3 Off roader
,22,24,8,0,0,3,0,0
,24,24,4,8,1,3,0,0
,26,24,4,8,3,3,0,0

,10,28,6,8,0,0,0,0      ; 4 twin cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,14,28,2,10,0,0,0,0     ; 5 mako
,18,28,2,10,0,3,0,0
,18,28,2,10,1,3,0,0
,20,28,2,10,3,3,0,0

,40,24,4,8,0,0,0,0      ; 6 tanker
,40,24,4,8,0,0,0,0
,40,24,4,8,0,0,0,0
,40,24,4,8,0,0,0,0

;
; cars for the projects
;

,10,24,4,8,0,0,0,0      ; 0 Sportster
,15,24,4,8,1,0,0,0
,20,24,4,8,1,3,0,0
,25,24,4,8,1,3,0,0

,20,24,4,8,0,0,0,0      ; 1 Rig
,25,24,4,8,0,1,0,0
,30,24,4,8,1,1,0,0
,40,24,4,8,6,1,0,0

,10,28,6,8,0,0,0,0      ; 2 cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,20,24,4,8,0,0,0,0      ; 3 Off roader
,22,24,8,0,0,3,0,0
,24,24,4,8,1,3,0,0
,26,24,4,8,3,3,0,0

,10,28,6,8,0,0,0,0      ; 4 twin cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,14,28,2,10,0,0,0,0     ; 5 mako
,18,28,2,10,0,3,0,0
,18,28,2,10,1,3,0,0
,20,28,2,10,3,3,0,0

,40,24,4,8,0,0,0,0      ; 6 tanker
,40,24,4,8,0,0,0,0
,40,24,4,8,0,0,0,0
,40,24,4,8,0,0,0,0

;
; cars for the wharf
;

,10,24,4,8,0,0,0,0      ; 0 Sportster
,15,24,4,8,1,0,0,0
,20,24,4,8,1,3,0,0
,25,24,4,8,1,3,0,0

,20,24,4,8,0,0,0,0      ; 1 Rig
,25,24,4,8,0,1,0,0
,30,24,4,8,1,1,0,0
,40,24,4,8,6,1,0,0

,10,28,6,8,0,0,0,0      ; 2 cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,20,24,4,8,0,0,0,0      ; 3 Off roader
,22,24,8,0,0,3,0,0
,24,24,4,8,1,3,0,0
,26,24,4,8,3,3,0,0

,10,28,6,8,0,0,0,0      ; 4 twin cycle
,12,28,6,8,0,2,0,0
,14,28,6,8,1,2,0,0
,16,28,6,8,1,2,0,0

,14,28,2,10,0,0,0,0     ; 5 mako
,18,28,2,10,0,3,0,0
,18,28,2,10,1,3,0,0
,20,28,2,10,3,3,0,0

,40,24,4,8,0,0,0,0      ; 6 tanker
,40,24,4,8,0,0,0,0
,40,24,4,8,0,0,0,0
,40,24,4,8,0,0,0,0

:
